,POI Total,POI Lifestyle,POI Business/Residential,POI Food/Beverage,Charge Count,zone_mean_pred,zone_mean_actual
681,-0.009648864,0.02515334,0.006160293,0.008560962,-0.03280815,0.33334777,0.2465495
682,-0.010981382,-0.04933542,0.015694931,-0.01795721,-0.005474176,0.27346846,0.3160497
686,-0.008887212,-0.0038825057,-0.004011909,0.0037961463,0.000552288,0.33813426,0.27261013
687,-0.030841077,-0.06300889,0.0018568868,-0.025878383,-0.016422007,0.20217323,0.16056207
690,0.036433376,-0.012229332,0.01375654,0.008748225,0.013317461,0.43901694,0.3691274
691,0.0028944963,-0.054266736,0.07316709,0.019761907,0.01636417,0.43714502,0.514923
693,0.019652821,-0.013266009,0.019511493,0.026246969,0.015885307,0.46375152,0.54561996
698,0.02732614,-0.023039063,-0.0013835565,-0.008011614,0.06163735,0.41008645,0.45240653
699,0.02466938,-0.016954001,0.019196307,0.015066116,8.072371E-05,0.38668004,0.467707
700,0.017994149,-0.015769292,0.009543073,0.0128576,0.011751307,0.38760078,0.49203777
701,0.01404618,-0.011576762,0.00065492914,-0.00022446903,-0.0042876196,0.36338156,0.2929938
703,-0.00048554648,0.014365831,0.017230112,-0.014672616,0.021001654,0.4004487,0.34617883
704,-0.021812754,0.025841529,-0.010150911,-0.02215407,0.01719884,0.34876812,0.35067877
705,0.009490309,0.059874803,-0.015749196,-0.0119356,0.005557826,0.3986748,0.41915777
706,0.0057907747,-0.0021583284,0.018456679,-0.016844353,0.015423518,0.39043793,0.4469619
708,-0.0021381888,-0.008241768,-0.006561009,-0.026249466,0.012179795,0.3021033,0.30480748
709,0.00705796,0.057338417,-0.022740545,-0.013538827,0.009333706,0.40295824,0.36643404
710,0.0024728356,0.07263933,0.008246283,9.3723174E-05,0.01745495,0.4713255,0.42760476
711,-0.0037311965,0.011079933,0.021256888,-0.013130168,0.008618691,0.3830513,0.53677166
712,-0.0055332603,0.014170761,0.017767046,-0.014076242,0.0052568857,0.35213995,0.32834393
715,0.052039463,0.09021046,0.022920232,0.038653973,-0.0064489944,0.5991078,0.52568936
716,-0.0017073037,-0.022887837,-0.0048266,0.0019499743,-0.008979805,0.27653235,0.2996747
718,-0.02654057,-0.024561709,0.006677907,-0.021436589,-0.04292974,0.22700197,0.094267756
719,-0.030695876,-0.024465157,-0.008088468,-0.0018320888,0.03462026,0.3077179,0.36146644
724,0.0009039204,0.012203645,0.0035692102,0.021609304,0.021751434,0.41256642,0.4479908
728,0.016004598,-0.047112796,0.0053373897,-0.027496075,-0.049517326,0.21947144,0.16473716
729,-0.004856701,0.019083075,0.020267576,0.012398243,-0.002566041,0.38587168,0.40984812
731,-0.020788763,-0.043774772,-0.015917199,-0.025480043,0.0023354192,0.23436457,0.1923459
732,0.012627852,-0.011215696,-0.008676105,0.0049923114,-0.028897244,0.28754717,0.2598196
733,0.006043367,-0.0011039908,0.01893487,0.006456766,-0.014515836,0.36556056,0.39030156
737,0.039570756,0.0015543641,0.041608192,0.01967783,0.011054267,0.5112848,0.4915075
741,0.027771419,-0.01438628,0.006901521,-0.0009011482,0.0027185623,0.3243201,0.32936564
744,-0.0019467041,-0.018437272,0.012374661,0.009991509,0.0039495085,0.33355692,0.32400498
745,0.028078608,0.003973028,0.0126591865,-0.014549333,-0.010542926,0.3953288,0.34534237
746,0.0068332246,-0.022514284,0.021398777,0.0147923045,0.021909796,0.42326176,0.40329525
751,-0.008395701,-0.05184019,-0.005574642,-0.002268383,0.0030714115,0.29073715,0.20703387
771,-0.0005295579,0.050664354,0.011425795,0.029148223,0.0039642714,0.45780104,0.4496416
773,0.0017522043,-0.037100643,0.023639848,-0.038120255,-0.02254823,0.25107488,0.27456054
775,0.03691181,0.0019876203,0.022347342,-0.0052099302,0.029027157,0.4624906,0.5429935
777,0.008731704,-0.014161236,0.02452063,-0.009721684,-0.02235049,0.31496504,0.32539874
781,-0.005148548,-0.0028817265,0.018002082,0.026487544,0.017285582,0.43713146,0.32054862
783,0.006298597,0.05003849,0.0136048645,0.029240532,0.0057312623,0.47139463,0.5270752
790,0.00511421,0.059303008,-0.005301858,0.024443977,0.009571092,0.47792995,0.64048934
792,-0.0058469004,-0.021772055,0.02668367,0.005798286,0.06208076,0.4325388,0.42940584
795,0.0028237824,-2.7288996E-05,0.008724909,-0.02100994,0.0144843245,0.36939934,0.41737613
799,-0.019432515,0.020886421,-0.020242913,-0.020248987,0.011555265,0.30867466,0.29629755
802,-0.01186228,-0.004878845,-0.011509533,0.010471981,-0.006327564,0.28515422,0.29063186
804,0.0023041691,0.036586765,0.0059198835,0.0048756665,-0.00047565627,0.40521172,0.40070564
805,-0.0014389326,0.014097928,-0.015996883,0.0010147367,0.0041952957,0.3421398,0.35575923
809,0.018362293,0.015639083,0.013539874,0.019155158,0.009398544,0.4500408,0.48997715
832,0.0040955218,-0.02340093,0.0060962783,0.012322632,0.0060929814,0.3484757,0.48305905
842,0.022796704,-0.02301653,0.00048425078,0.006821094,-0.002735961,0.33735678,0.32939035
844,-0.01648983,-0.055546325,0.0049255686,0.0066028964,-0.0003553834,0.26914376,0.3137671
848,-0.0062560146,-0.040779933,0.0013691942,-0.01934766,-0.0030715645,0.29461023,0.37911245
849,-0.0135399345,-0.007022782,0.006396171,-0.012488436,0.006221566,0.3251708,0.22027612
851,-0.00054865365,0.0012622441,0.026113229,0.014468475,0.014086553,0.39862645,0.4431792
852,-0.0021028686,0.02116964,0.016569795,-0.0055857757,0.051947996,0.41309974,0.28730807
855,0.0139927035,0.01095314,0.016075978,0.027234258,0.041065462,0.45885685,0.4885287
858,0.015422343,-0.020011283,-0.001867007,-0.024743851,-0.0010686107,0.28522843,0.2630649
862,-0.0069060284,-0.049746186,-0.01215705,-0.0037648496,0.0099222185,0.26214013,0.2935241
881,0.0033279806,-0.018054653,-0.008008523,0.0058939606,0.016291793,0.35145265,0.31554967
882,-0.0009989822,0.028590681,0.014166365,0.009568695,-0.022269137,0.3764023,0.43858215
883,-0.006284293,0.0028405543,0.01205592,0.0071110255,-0.011064951,0.33858618,0.35443342
887,-0.0130314315,-0.019895807,-0.06993449,-0.008366124,-0.0033610747,0.20891313,0.20935082
888,0.03896828,5.5912773E-05,0.059217025,0.02850349,0.042149007,0.53339225,0.39670917
890,0.050544035,0.02510426,0.10892718,0.032437176,-0.024110604,0.61159474,1.0
891,-0.0028026192,0.017892051,0.033425167,0.014493513,0.0009709303,0.41662985,0.5991091
893,-0.032389097,-0.06649401,-0.004198317,-0.04163929,-0.049197324,0.094394386,0.05679402
895,-0.024419442,-0.062399495,0.0049090316,-0.030812588,-0.010110558,0.23521428,0.25764325
897,-0.008608427,-0.015817804,-0.05536231,-0.004294235,-0.0011817245,0.27500513,0.32947958
900,0.0008988666,0.00094446965,0.034628954,0.009237357,-0.00783516,0.40195546,0.2068731
901,0.0073753083,0.007965441,0.012607523,0.006280697,-0.021617904,0.37028563,0.32908717
902,0.011028233,0.064941354,0.052877355,0.01878342,0.01785318,0.55277705,0.61000514
903,0.006601103,0.017517483,0.040592566,0.01724453,0.020258354,0.5076053,0.22117034
904,-0.008114936,-0.0044189137,-0.04082078,0.012190984,0.0062469738,0.3182784,0.22054152
937,0.015126974,-0.023846693,-0.006427996,-0.007941447,-0.026458798,0.29190987,0.29702145
943,-0.010378451,-0.0029954985,-0.05516691,0.0031338963,-0.037689738,0.21579075,0.22558409
958,0.013194636,-0.021653702,0.008144816,0.00818112,-0.012750327,0.3266174,0.37704962
965,0.011232671,0.008376977,0.013814784,0.0069118375,0.004385833,0.42490342,0.39598677
966,-0.01841193,-0.00016772396,-0.0032563393,-0.02972119,0.018318456,0.29889157,0.2607686
967,0.0056839143,0.0023909074,0.0066684354,0.0009688148,0.008313352,0.3836605,0.36389795
969,0.0005986267,-0.01331118,-0.00023261973,-0.019962257,-0.0016291668,0.30563465,0.2886468
972,-0.0016531973,-0.0053709825,0.0063525094,0.014916136,0.009968866,0.35857573,0.34488317
974,-0.0047251596,-0.0057117883,0.0025940903,0.0071196696,-0.007892912,0.33527833,0.3021571
975,-0.022341542,-0.046574328,-0.0041523855,0.0041982327,-0.04747372,0.1912651,0.19506253
