zone_id,mean_pred,mean_actual,zone_rmse
855,0.46944374,0.4885287,0.05899888
858,0.29529658,0.2630649,0.04993335
862,0.2636284,0.2935241,0.10036657
881,0.33402961,0.31554967,0.11930818
882,0.38975677,0.43858215,0.10088105
883,0.33370203,0.35443342,0.091935486
887,0.21468067,0.20935082,0.053485256
888,0.538059,0.39670917,0.16410856
890,0.6279041,1.0,0.37606624
891,0.41338804,0.5991091,0.26199865
893,0.08949455,0.05679402,0.06525012
895,0.2412027,0.25764325,0.13661353
897,0.2827928,0.32947958,0.085876584
900,0.39720583,0.2068731,0.20094967
901,0.38384426,0.32908717,0.18296821
902,0.55768013,0.61000514,0.12501061
903,0.5043682,0.22117034,0.29090968
904,0.31656742,0.22054152,0.119651765
937,0.3063918,0.29702145,0.07723765
943,0.22842325,0.22558409,0.050423037
958,0.33105603,0.37704962,0.099956326
965,0.43068787,0.39598677,0.0676301
966,0.29208007,0.2607686,0.053618062
967,0.3847019,0.36389795,0.085183136
969,0.3042807,0.2886468,0.061178565
972,0.35652116,0.34488317,0.06715982
974,0.33996835,0.3021571,0.06507055
975,0.18848784,0.19506253,0.04667047
977,0.14284286,0.16958621,0.08538636
979,0.27632663,0.22416995,0.09208348
981,0.27831444,0.3872254,0.16288826
982,0.32350007,0.28795078,0.075331464
983,0.26522717,0.29355434,0.07132481
984,0.23933558,0.16109283,0.11799899
986,0.29837036,0.31556645,0.07582433
987,0.34664026,0.20672289,0.2012094
988,0.23061638,0.2368935,0.07471896
989,0.42526993,0.46260917,0.10334535
991,0.34162906,0.27051198,0.11819498
996,0.3466978,0.34818608,0.060936186
998,0.29398996,0.3012114,0.060610995
1000,0.3065392,0.21222217,0.1048885
1009,0.28605577,0.3376175,0.098044775
1011,0.46576807,0.37385455,0.10975304
1015,0.48143914,0.4735125,0.087667726
1026,0.3917586,0.36360952,0.15765443
1029,0.38219833,0.4566655,0.2393931
1031,0.32373232,0.33534116,0.08444489
1043,0.2421858,0.2571658,0.052876413
1049,0.3454483,0.3074486,0.059767973
1060,0.14183359,0.20417519,0.10636161
1061,0.3312922,0.3422393,0.10523743
1062,0.27813143,0.3475545,0.114362195
1066,0.4074241,0.29678226,0.13471755
1067,0.51338285,0.5708606,0.11102636
1068,0.41729853,0.42398402,0.07069956
1071,0.2771683,0.33322003,0.12840119
1072,0.3258874,0.30420637,0.09570283
1074,0.3565788,0.28986076,0.104158334
1075,0.3186049,0.36405253,0.10852871
1076,0.2888831,0.29520553,0.10491611
1081,0.38477188,0.40414032,0.079816446
1082,0.29153243,0.24926496,0.10939272
1083,0.36874685,0.39457878,0.08925136
1085,0.4075051,0.37396166,0.088143446
1087,0.42758325,0.536486,0.15821606
1088,0.36160257,0.22974843,0.17803788
1090,0.31209466,0.26412335,0.09576759
1092,0.4979833,0.5318478,0.13808222
1094,0.30702847,0.33050156,0.08129308
1095,0.26065567,0.20714474,0.08918641
1096,0.3904488,0.49140137,0.13615645
1098,0.45735544,0.3532081,0.14709213
1099,0.3047221,0.26035,0.1011779
1100,0.33128196,0.3920379,0.09835563
1102,0.44567677,0.41533166,0.082929075
1104,0.51348513,0.51711786,0.1146933
1106,0.23123565,0.1604299,0.09906549
1107,0.30557632,0.20302534,0.1507665
1109,0.34123105,0.4300951,0.159331
1110,0.26371258,0.21815355,0.08785585
1111,0.34887832,0.47482845,0.15213929
1112,0.25791356,0.12175437,0.15456225
1113,0.246015,0.2660559,0.088969685
1114,0.22635573,0.18174109,0.08935199
1115,0.31929457,0.42322877,0.13897517
1119,0.36474794,0.40705135,0.09083355
1120,0.21508808,0.17927082,0.0678665
1121,0.47851476,0.55636907,0.1753235
1124,0.388086,0.5575841,0.18395022
1125,0.20621972,0.11942634,0.113275304
1126,0.42527592,0.38676515,0.09323482
1130,0.23838826,0.36464968,0.1598477
1134,0.44288066,0.31468037,0.15873475
1135,0.34505743,0.45156568,0.1432683
1137,0.20148948,0.3389206,0.16956209
1138,0.32814854,0.11204379,0.2373155
1143,0.2668366,0.24588576,0.057357773
1144,0.3044541,0.29374003,0.056320615
1149,0.43515706,0.5138763,0.1300612
1154,0.341621,0.40175095,0.09871285
1156,0.25669122,0.14380187,0.12943767
1159,0.40354794,0.42054018,0.09805732
1162,0.2893522,0.28126797,0.06758703
1163,0.2779372,0.36624265,0.22670212
1164,0.56591076,0.6296036,0.10228371
1166,0.44127634,0.45226333,0.07614422
1167,0.28243613,0.30631116,0.10016771
1168,0.30709898,0.25227493,0.08790608
1172,0.4303327,0.38694194,0.10893938
1173,0.4597737,0.47054127,0.10207135
